Achilles tendon stress,Ankle plantar/dorsiflexion angle,Ankle in/eversion angle,Ankle in/external rotation angle,Ankle plantar/dorsiflexion moment,Ankle in/eversion moment,Ankle power,A/P GRF,M/L GRF,Hip flex/extension angle,Hip in/external rotation angle,Hip in/external rotation moment,Knee flex/extension angle,Knee in/external rotation angle,Ipsi/contralateral pelvis rotation,EMG activation for peroneus longus
4.045231856,22.6393,11.5945,-36.9945,3.56968,-0.0883654,24.0436,-0.334415,-6.18463,10.3262,39.8385,-0.0213926,32.4883,11.8814,-19.7481,0.863132577
4.642296308,19.4215,10.9272,-35.4946,3.27388,-0.110348,24.8347,-0.349065,-6.16853,8.67714,39.0531,-0.0407686,31.0877,11.014,-19.9977,0.84856257
5.748742178,15.9582,10.2575,-33.9268,2.93119,-0.127462,24.532,-0.362488,-5.97349,7.03114,38.4263,-0.0533262,29.5475,9.97969,-20.2597,0.833080972
8.547461246,12.2929,9.59571,-32.3151,2.54661,-0.141598,22.9885,-0.379403,-5.59316,5.3894,37.9621,-0.0579172,27.8876,8.80302,-20.5314,0.817347012
29.57686418,8.48764,8.95137,-30.6853,2.13641,-0.153239,20.3177,-0.400003,-5.01163,3.75634,37.6415,-0.0534641,26.143,7.52323,-20.8088,0.800938372
5.977079909,24.9804,5.72391,-31.3836,2.83169,-0.102082,17.7391,0.223231,-4.36989,2.0325,39.9669,0.0490133,17.1237,0.0814794,-8.8764,0.73328785
6.480833369,22.426,5.74008,-31.4568,2.65046,-0.10378,18.4609,-0.0164323,-4.34867,0.0381304,40.2809,0.0555289,15.4293,-1.20404,-8.71394,0.703212238
7.279951664,19.5581,5.7393,-31.4533,2.43713,-0.106108,18.4694,-0.18909,-4.20751,-1.87323,40.614,0.0555857,13.8033,-2.5637,-8.55419,0.671599985
8.723994053,16.4256,5.71853,-31.3592,2.1982,-0.107491,17.7485,-0.295947,-4.00209,-3.68951,40.9458,0.054305,12.2686,-3.96178,-8.40305,0.638426053
12.05163895,13.0962,5.67649,-31.1683,1.95179,-0.1088,16.4488,-0.358214,-3.80362,-5.40115,41.2524,0.0479636,10.8486,-5.35476,-8.26667,0.603449463
25.44385487,9.65203,5.61403,-30.8831,1.69573,-0.108057,14.5968,-0.364724,-3.52429,-7.0007,41.5075,0.0457021,9.56681,-6.69445,-8.15131,0.566135049
6.21612866,25.1572,4.2876,-20.374,3.24978,-0.281,20.5164,-0.0330581,-6.85198,13.8547,7.98886,0.0714747,33.1694,23.4204,-15.8182,0.887091991
6.731581698,22.671,3.88968,-18.5891,3.0559,-0.269777,23.8369,-0.049085,-6.91067,11.2057,6.16048,0.050614,30.5658,22.4791,-14.8666,0.867887966
7.596881953,19.7021,3.47536,-16.6893,2.81168,-0.25885,26.2384,-0.0818374,-6.85322,8.46544,4.26232,0.0321753,27.7945,21.3593,-13.7933,0.847824975
9.332715518,16.2465,3.05173,-14.706,2.52204,-0.24419,27.2808,-0.114075,-6.64195,5.66026,2.3604,0.0157584,24.8985,20.073,-12.6265,0.827710856
14.20535758,12.3296,2.62585,-12.6745,2.1887,-0.226883,26.608,-0.148858,-6.20021,2.82894,0.514322,0.00249662,21.9348,18.6467,-11.3961,0.807525155
80.67200609,8.01507,2.20413,-10.6298,1.81418,-0.216711,24.0651,-0.20991,-5.45288,0.023174,-1.22585,-0.0057917,18.9741,17.1208,-10.133,0.786710569
7.910776044,18.8482,1.73624,-8.87709,2.6487,-0.243228,12.9918,0.243131,-3.06371,6.68647,21.3281,-0.0774639,23.8899,-6.73904,-3.53509,0.715552465
8.592827555,17.2361,1.6308,-8.35029,2.48944,-0.222725,14.0134,0.143041,-3.21632,5.16069,21.6398,-0.0640098,22.5354,-7.5145,-3.53329,0.683683137
9.690739272,15.4013,1.50554,-7.72257,2.3039,-0.202357,14.5831,0.0590472,-3.28985,3.62708,21.8972,-0.0530744,21.1425,-8.34951,-3.52035,0.650282637
11.69484984,13.354,1.36122,-6.997,2.09299,-0.182249,14.6141,-0.00548462,-3.27583,2.09272,22.0936,-0.0421392,19.7226,-9.23619,-3.49254,0.615209496
16.37087631,11.1106,1.20021,-6.18477,1.85985,-0.158133,14.0579,-0.0435043,-3.18952,0.565048,22.2269,-0.0299079,18.2885,-10.1635,-3.44676,0.578549308
38.41484468,8.69508,1.02651,-5.30573,1.61794,-0.138627,13.0038,-0.0601473,-3.03181,-0.948436,22.2987,-0.0189198,16.8554,-11.1168,-3.38072,0.539549564
3.610898458,24.0265,2.6003,-20.7255,3.63903,0.0984498,14.2942,-0.162998,-6.61107,-1.20292,12.6937,0.138567,25.9386,16.5143,-12.3315,0.987693179
3.803575345,22.4074,2.1468,-18.1487,3.48191,0.0956016,20.0997,-0.295413,-7.07473,-3.52332,11.3591,0.165102,23.1488,14.8499,-12.2201,0.985054063
4.124575457,20.2261,1.65715,-15.2778,3.25537,0.0948053,25.7257,-0.384035,-7.39966,-5.85752,9.88213,0.183013,20.1964,12.747,-11.9606,0.982065652
4.771309212,17.3856,1.14139,-12.1655,2.96762,0.0869538,30.3787,-0.517333,-7.50376,-8.21921,8.35496,0.198308,17.1227,10.2465,-11.6109,0.979131575
6.49088321,13.7803,0.610496,-8.88314,2.62728,0.0787307,33.0485,-0.671471,-7.36757,-10.5861,6.84482,0.20456,13.9954,7.4194,-11.2166,0.975789988
17.49835706,9.31725,0.0795796,-5.5401,2.24552,0.0652911,32.9025,-0.767285,-6.96036,-12.9042,5.39072,0.201811,10.9081,4.37334,-10.8081,0.970240082
30.38714298,7.39911,0.0190745,-1.85212,0.226042,-0.00841666,-0.776785,0.272848,-0.694359,43.4416,-8.7874,0.120091,37.516,4.61362,2.25629,0.996550779
